Indicador;Localidad;Ano;Valor
Número de hurtos a vehículos;LOS MÁRTIRES;2011;93
Número de hurto a establecimientos de comercio;LOS MÁRTIRES;2011;100
Número de hurtos a residencias;LOS MÁRTIRES;2011;67
Número de lesiones comunes;LOS MÁRTIRES;2011;341
Número de lesiones comunes;OTROS;2011;0
Número de homicidios CICRI;PUENTE ARANDA;2011;33
Número de hurtos a personas;PUENTE ARANDA;2011;697
Número de hurtos a vehículos;PUENTE ARANDA;2011;243
Número de hurto a establecimientos de comercio;PUENTE ARANDA;2011;133
Número de hurtos a residencias;PUENTE ARANDA;2011;135
Número de lesiones comunes;PUENTE ARANDA;2011;278
Número de homicidios CICRI;RAFAEL URIBE URIBE;2011;115
Número de hurtos a personas;RAFAEL URIBE URIBE;2011;533
Número de hurtos a vehículos;RAFAEL URIBE URIBE;2011;127
Número de hurto a establecimientos de comercio;RAFAEL URIBE URIBE;2011;78
Número de hurtos a residencias;RAFAEL URIBE URIBE;2011;140
Número de lesiones comunes;RAFAEL URIBE URIBE;2011;546
Número de homicidios CICRI;SAN CRISTÓBAL;2011;105
Número de hurtos a personas;SAN CRISTÓBAL;2011;404
Número de hurtos a vehículos;SAN CRISTÓBAL;2011;110
Número de hurto a establecimientos de comercio;SAN CRISTÓBAL;2011;55
Número de hurtos a residencias;SAN CRISTÓBAL;2011;127
Número de lesiones comunes;SAN CRISTÓBAL;2011;664
Número de homicidios CICRI;SANTA FE;2011;62
Número de hurtos a personas;SANTA FE;2011;1150
Número de hurtos a vehículos;SANTA FE;2011;27
Número de hurto a establecimientos de comercio;SANTA FE;2011;171
Número de hurtos a residencias;SANTA FE;2011;87
Número de lesiones comunes;SANTA FE;2011;401
Número de homicidios CICRI;SUBA;2011;145
Número de hurtos a personas;SUBA;2011;1876
Número de hurtos a vehículos;SUBA;2011;354
Número de hurto a establecimientos de comercio;SUBA;2011;384
Número de hurtos a residencias;SUBA;2011;1021
Número de lesiones comunes;SUBA;2011;1401
Número de hurtos a personas;SUMAPAZ;2011;0
Número de lesiones comunes;SUMAPAZ;2011;0
Número de homicidios CICRI;TEUSAQUILLO;2011;13
Número de hurtos a personas;TEUSAQUILLO;2011;793
Número de hurtos a vehículos;TEUSAQUILLO;2011;157
Número de hurto a establecimientos de comercio;TEUSAQUILLO;2011;159
Número de hurtos a residencias;TEUSAQUILLO;2011;181
Número de lesiones comunes;TEUSAQUILLO;2011;149
Número de homicidios CICRI;TUNJUELITO;2011;41
Número de hurtos a personas;TUNJUELITO;2011;316
Número de hurtos a vehículos;TUNJUELITO;2011;70
Número de hurto a establecimientos de comercio;TUNJUELITO;2011;62
Número de hurtos a residencias;TUNJUELITO;2011;87
Número de lesiones comunes;TUNJUELITO;2011;235
Número de homicidios CICRI;USAQUÉN;2011;63
Número de hurtos a personas;USAQUÉN;2011;1603
Número de hurtos a vehículos;USAQUÉN;2011;216
Número de hurto a establecimientos de comercio;USAQUÉN;2011;319
Número de hurtos a residencias;USAQUÉN;2011;650
Número de lesiones comunes;USAQUÉN;2011;413
Número de homicidios CICRI;USME;2011;102
Número de hurtos a personas;USME;2011;278
Número de hurtos a vehículos;USME;2011;53
Número de hurto a establecimientos de comercio;USME;2011;78
Número de hurtos a residencias;USME;2011;141
Número de lesiones comunes;USME;2011;635
Número de homicidios CICRI;ANTONIO NARIÑO;2012;7
Número de hurtos a personas;ANTONIO NARIÑO;2012;463
Número de hurtos a vehículos;ANTONIO NARIÑO;2012;76
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2012;283
Número de hurtos a residencias;ANTONIO NARIÑO;2012;66
Número de lesiones comunes;ANTONIO NARIÑO;2012;223
Número de homicidios CICRI;BARRIOS UNIDOS;2012;15
Número de hurtos a personas;BARRIOS UNIDOS;2012;936
Número de hurtos a vehículos;BARRIOS UNIDOS;2012;72
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2012;216
Número de hurtos a residencias;BARRIOS UNIDOS;2012;172
Número de lesiones comunes;BARRIOS UNIDOS;2012;307
Número de homicidios CICRI;BOSA;2012;111
Número de hurtos a personas;BOSA;2012;982
Número de hurtos a vehículos;BOSA;2012;129
Número de hurto a establecimientos de comercio;BOSA;2012;295
Número de hurtos a residencias;BOSA;2012;324
Número de lesiones comunes;BOSA;2012;1330
Número de homicidios CICRI;CHAPINERO;2012;9
Número de hurtos a personas;CHAPINERO;2012;1944
Número de hurtos a vehículos;CHAPINERO;2012;39
Número de hurto a establecimientos de comercio;CHAPINERO;2012;480
Número de hurtos a residencias;CHAPINERO;2012;357
Número de lesiones comunes;CHAPINERO;2012;370
Número de homicidios CICRI;CIUDAD BOLÍVAR;2012;238
Número de hurtos a personas;CIUDAD BOLÍVAR;2012;856
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2012;76
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2012;99
Número de hurtos a residencias;CIUDAD BOLÍVAR;2012;226
Número de lesiones comunes;CIUDAD BOLÍVAR;2012;1681
Número de homicidios CICRI;ENGATIVÁ;2012;83
Número de hurtos a personas;ENGATIVÁ;2012;1918
Número de hurtos a vehículos;ENGATIVÁ;2012;348
Número de hurto a establecimientos de comercio;ENGATIVÁ;2012;733
Número de hurtos a residencias;ENGATIVÁ;2012;462
Número de lesiones comunes;ENGATIVÁ;2012;1110
Número de homicidios CICRI;FONTIBÓN;2012;26
Número de hurtos a personas;FONTIBÓN;2012;1253
Número de hurtos a vehículos;FONTIBÓN;2012;102
